tweet,id,len,date,source,likes,retweets,sentiment
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107708960528695296,140,2019-03-18 18:22:51,Twitter for Android,0,19,Neutral
Vitat Kholi Jersey NO:18 scored 183 runs on 18 /3 2012 ! @m_sudhaM @Gunjan47 @pintu_piyali,1107708834158690311,90,2019-03-18 18:22:20,Twitter for Android,0,0,Neutral
@AashaBisht  Vitat  Kholi Jersey NO:18 scored 183 runs on 18 /3 2012 !,1107708398802518017,70,2019-03-18 18:20:37,Twitter for Android,0,0,Neutral
@Cricketracker @imVkohli Vitat Kholi Jersey NO:18 scored 183 runs on 18 /3 2012 !,1107707890251546626,81,2019-03-18 18:18:35,Twitter for Android,0,0,Neutral
"@Payals2012 @iam_rrahull 😂😂😂😂😂😂😂😂 
Kya bat hai hamare bhagyaa hi khushh gaye 😂😂😂😂😂😂 
Devi ne ankhe kholi aur hamare tweet 😂😂👏👏",1107705446494658560,126,2019-03-18 18:08:53,Twitter for Android,1,0,Neutral
RT @DellDrgktazm: @AAPDelhi @raghav_chadha Who don’t know ABCD OF HEALTH n giving lecture on mohalla clinic n better u take treatment first…,1107705073033863168,140,2019-03-18 18:07:24,Twitter for iPhone,0,1,Positive
@Football__Tweet Who is kholi?,1107704543578677248,30,2019-03-18 18:05:18,Twitter for iPhone,6,0,Neutral
"@WaseemBadami while watching this the first thought came in my mind is 
""shakal sy hi pta chal ra hai neend aa rahi… https://t.co/9Hzt9JIywP",1107700688312827904,140,2019-03-18 17:49:58,Twitter for Android,0,0,Positive
@umerkhalid8637 sath slides bhi kholi huii hn na,1107696186557976577,48,2019-03-18 17:32:05,Twitter Web Client,1,0,Neutral
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107694451638435846,140,2019-03-18 17:25:11,Twitter for Android,0,19,Neutral
@AAPDelhi @raghav_chadha Who don’t know ABCD OF HEALTH n giving lecture on mohalla clinic n better u take treatment… https://t.co/5ZVOFYrs1T,1107693785423577088,140,2019-03-18 17:22:33,Twitter for iPhone,1,1,Positive
"Hey Virat Kholi Circketer(@VCircketer), thank you for following me",1107693451758497792,66,2019-03-18 17:21:13,IFTTT,0,0,Neutral
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107693368954552320,140,2019-03-18 17:20:53,Twitter for Android,0,19,Neutral
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107692566642720770,140,2019-03-18 17:17:42,Twitter for iPhone,0,19,Neutral
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107692436195811333,140,2019-03-18 17:17:11,Twitter Web App,0,19,Neutral
Kholi – “Kí Ló Kàn Mí” (Prod by GospelOnDeBeatz) https://t.co/1XiROW5FYn https://t.co/U6hJkJdqAq,1107692305459408896,96,2019-03-18 17:16:40,WordPress.com,0,0,Neutral
"RT @OvieO: LOL! Creative. 

Listen to Kholi - Kí Ló Kàn Mí | @iam_Davido #DavidoFreestyleChallenge (Prod by GospelOnDeBeatz) on @MinoMusicA…",1107690937629712384,140,2019-03-18 17:11:14,Twitter for Android,0,1,Positive
Repost from fluxfactorymusic using repostregramapp - 🎧Have you heard kholiofficial cover of @iam_Davido..… https://t.co/JJv88waKYl,1107689611072024576,130,2019-03-18 17:05:57,Instagram,0,0,Neutral
"LOL! Creative. 

Listen to Kholi - Kí Ló Kàn Mí | @iam_Davido #DavidoFreestyleChallenge (Prod by GospelOnDeBeatz) o… https://t.co/wZfkw1ycRj",1107689563932241920,140,2019-03-18 17:05:46,Twitter Web Client,1,1,Positive
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107689240341544968,140,2019-03-18 17:04:29,Twitter for Android,0,19,Neutral
"RT @BurnolReloaded: Aarahi hai holi

Ab #SemenSagarika ki nikli boli

Semen ko Balloons me dekh kar

Hindu semen hai ya nahi ye raaz kholi!…",1107688986321911818,140,2019-03-18 17:03:28,Twitter for Android,0,19,Neutral
