tweet,id,len,date,source,likes,retweets,sentiment
"RT @yetuyegambaram: #HBDKarthikSubbarajByThalaivarFans
#HBDKarthikSubbaraj 
Happy birthday to the man who gave us #Petta , all time fav mov…",1107921811583299584,140,2019-03-19 08:28:38,Twitter for Android,0,11,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921732818464768,128,2019-03-19 08:28:19,Twitter for Android,0,662,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921675213918208,128,2019-03-19 08:28:06,Twitter for Android,0,662,Positive
"RT @RIAZtheboss: #HBDKarthikSubbaraj 🎂😎❤️🎂
#HappyBirthdayKarthikSubbaraj

Right From The Start, Ur Art Of Filmmaking Has Been Quite 'Out-of…",1107921628279652356,140,2019-03-19 08:27:55,Twitter for Android,0,64,Positive
"RT @yetuyegambaram: Happy brithday to the man who made me watch one movie (#petta) 7 times, and making me feel ""i still havent watched the…",1107921593269813248,139,2019-03-19 08:27:46,Twitter for Android,0,21,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921558293536768,128,2019-03-19 08:27:38,Twitter for Android,0,662,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921490878611456,128,2019-03-19 08:27:22,Twitter for Android,0,662,Positive
"RT @AllIndiaRKFC: Happy birthday @karthiksubbaraj 
#Rajinikanth #Petta https://t.co/n2YR9FLhNm",1107921450038517760,94,2019-03-19 08:27:12,Twitter for Android,0,5,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921412688244736,128,2019-03-19 08:27:03,Twitter for Android,0,662,Positive
"RT @galattadotcom: Being an ardent fanboy of #Rajinikanth, director @karthiksubbaraj should be a very happy man for delivering a pakka mass…",1107921409097883649,140,2019-03-19 08:27:02,Twitter for Android,0,48,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921320895889408,128,2019-03-19 08:26:41,Twitter for Android,0,662,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921213748178946,128,2019-03-19 08:26:16,Twitter for Android,0,662,Positive
RT @VasanDhivagar: #Thalaivar #Rajinikanth Dialogue dudsmash pannale oru Goosebumps varuthu chumma oru try tha friends Dedicate to #RajiniE…,1107921191136690177,140,2019-03-19 08:26:10,Twitter for Android,0,8,Neutral
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107921098220269568,128,2019-03-19 08:25:48,Twitter for Android,0,662,Positive
"#HappyBirthdayKarthikSubbaraj

Wish you Happy Birthday dear @karthiksubbaraj bro. U r such a talented director amon… https://t.co/tJ4EDcdqLa",1107921009951203328,140,2019-03-19 08:25:27,Twitter for Android,1,0,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107920982864388096,128,2019-03-19 08:25:21,Twitter for Android,0,662,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107920823489347584,128,2019-03-19 08:24:43,Twitter Web App,0,662,Positive
"RT @urstrulyMahesh: #Petta is a tribute to all the fans of @rajinikanth sir, including me... Only one word... Thalaiva...🙏 @karthiksubbaraj…",1107920796687581184,140,2019-03-19 08:24:36,Twitter for Android,0,11722,Neutral
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107920692954095617,128,2019-03-19 08:24:12,Twitter for Android,0,662,Positive
"RT @sunpictures: Happy Birthday to our #Petta director @karthiksubbaraj !

#HappyBirthdayKarthikSubbaraj https://t.co/Ko756kg7x5",1107920669780525056,128,2019-03-19 08:24:06,Twitter for Android,0,662,Positive
