tweet,id,len,date,source,likes,retweets,sentiment
#Flipkart #Galaxynote8 #Chennai https://t.co/o276yZG0pm,1106953054383824896,55,2019-03-16 16:19:09,Twitter for Android,0,0,Neutral
ரூ 10 லட்சம் கொள்ளை காட்டிக் கொடுத்த உதடு..!  சிசிடிவி காட்சி #Chennai #CCTV #ATM https://t.co/6fZVaWTqg6,1106952334083416064,105,2019-03-16 16:16:17,Twitter Web Client,2,0,Neutral
"சென்னை கீழ்பாக்கத்தில் தீயணைப்பு கருவிகள் விற்கும் செபக்ஸ் நிறுவனத்தில்..
#fire #accident #chennai 
https://t.co/0zgDZXQSte",1106951411659489282,123,2019-03-16 16:12:37,Twitter Web Client,2,0,Neutral
#Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. Ma… https://t.co/2K3LVihQyn,1106951155823710210,140,2019-03-16 16:11:36,Twitter for Android,2,0,Neutral
"RT @GuideforAll: ● International #PiDay is observed on which date ?
- 14 March

● Which City Has Won 12th #Hero I-League Football Champions…",1106951098965721088,140,2019-03-16 16:11:22,Twitter Web App,0,11,Neutral
"Are You Virgin?? Virgin Prank😛😂😂😂
Watch on YouTube👇🎬
https://t.co/rsjVTfE6gN
.
.
#pongalvadai #chennai #funnyvideo… https://t.co/1uPZjCdHJx",1106950743448272898,139,2019-03-16 16:09:58,Instagram,0,0,Neutral
RT @tippusholawarm: @Uk_Twittz @GaushiTs @Bhairavibhairav @hari87kumar @raam7890 @sukuajith @Deppaa1 @swamisaranamm @AiadmkTamil @umagarghi…,1106950500870610945,140,2019-03-16 16:09:00,Twitter for Android,0,11,Neutral
RT @ChennaiIPL: Three lions! Get ready #Chennai to welcome Namma #Thala! PC: @JadhavKedar https://t.co/G5AYqE8S1q,1106949794671394816,113,2019-03-16 16:06:11,Twitter for Android,0,1060,Positive
RT @skyesportsindia: #Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. March…,1106949651582713856,140,2019-03-16 16:05:37,Twitter for Android,0,3,Neutral
"சென்னை- கபாலீஸ்வரர் கோவில் விழா
#KapaleeshwararTemple #Chennai #Wintvindia

மேலும் விவரம் | https://t.co/FKSyrVDNG6 https://t.co/Q8UXj9SiS1",1106949538588155904,139,2019-03-16 16:05:10,Twitter Web Client,0,0,Neutral
"RT @UniverselBus: CHENNAI TO VELANKANNI Scania A/C Multi-Axle semi sleeper(2+2)
Daily Service Both Ac and Non Ac available Semi Sleeper cum…",1106949216868286464,140,2019-03-16 16:03:54,Twitter Web App,0,1,Positive
"CHENNAI TO VELANKANNI Scania A/C Multi-Axle semi sleeper(2+2)
Daily Service Both Ac and Non Ac available Semi Sleep… https://t.co/6JmhmCuvUR",1106949157963489280,140,2019-03-16 16:03:40,Twitter for Android,1,1,Positive
#IN #THE #INDIAN #SUPER #LEAUGE #OR ''#ISL'' #BOTH #THE #BEST #IN #FORM #AND #WELL #BALANCED #TEAMS #THE ''#CHENNAI… https://t.co/UPd9k7w3eA,1106949077298745344,140,2019-03-16 16:03:20,Mobile Web (M2),0,0,Positive
"CSK fans jostle, as IPL ticket sale opens in Chennai
@CSKFansOfficial @ChennaiIPL #fans #jostle @IPL #IPL2019… https://t.co/Ms1RP6Cks4",1106948904635891712,134,2019-03-16 16:02:39,Twitter Web App,0,0,Neutral
"Thanks for having given #Chennai a worldwide recognition in a single day..

Piano prodigy &amp; ‘World’s Best’ title wi… https://t.co/DXUz387Ozr",1106948710095679488,144,2019-03-16 16:01:53,Twitter for Android,0,0,Positive
"#dhoniinyou is now trending in #Chennai

https://t.co/f9vdEaAQaG https://t.co/rOcaI0hMtS",1106947848195792896,88,2019-03-16 15:58:27,Trendsmap Alerting,4,0,Neutral
"#velmurugan is now trending in #Chennai

https://t.co/GpwJBCAAg2 https://t.co/grGueRWf9E",1106947813089468416,88,2019-03-16 15:58:19,Trendsmap Alerting,3,1,Neutral
"#socialmediakingthalapathy is now trending in #Chennai

https://t.co/x2RlULZjfo https://t.co/APVhJTsG2u",1106947781091041280,103,2019-03-16 15:58:11,Trendsmap Alerting,2,1,Neutral
"RT @ramavenu: this is how we feel in #Chennai now.....Hot, Hotter, Hottest Chennai https://t.co/vQYDBYgKed",1106947504451407873,106,2019-03-16 15:57:05,Twitter Web Client,0,1,Positive
"RT @BloodAid: #Chennai #Urgent Need 5 units O-ve #Blood @ Apollo hospital, Greams road. Call 9487535448 #BloodAid via @villagemedia16 cc @k…",1106946709861609472,140,2019-03-16 15:53:56,Twitter for iPhone,0,68,Neutral
But the prob was you are truly not understanding the feeling of the home fans whom stand in Q for hours and tickets… https://t.co/XXmJjF5CuD,1106946680987881472,140,2019-03-16 15:53:49,Twitter for Android,1,0,Neutral
"1.25 kg gold seized at airport, woman passenger held
#gold #seized #airport #woman #passenger #held #Chennai 
https://t.co/oQyXk7mBis",1106946220684013570,133,2019-03-16 15:51:59,Twitter Web App,0,0,Neutral
"RT @kollywood_Post: #VijayShankar with #MakkalSelvan #Vijaysethupathi

#IPL2019 #IPL #Fan #CSK #Chennai https://t.co/11h6U5fPYb",1106945931595804672,127,2019-03-16 15:50:50,Twitter for Android,0,1,Neutral
"RT @BloodDonorsIn: #Chennai
Need #Blood Type :  A-negative
At : MMM hospital, Mogapair
Number of Units : 6
Primary Number : 9941180811
Pati…",1106945542905610245,140,2019-03-16 15:49:18,Twitter Web App,0,47,Positive
"RT @iCanSaveLife: #Chennai #Mar16
Need A-ve Blood donors
At MMM Hospital
Call 9941180811
via @abhi_174 cc @Nelson_Ji @Netra #iCanSaveLife #…",1106945400613801987,140,2019-03-16 15:48:44,Twitter Web App,0,23,Neutral
"#VijayShankar with #MakkalSelvan #Vijaysethupathi

#IPL2019 #IPL #Fan #CSK #Chennai https://t.co/11h6U5fPYb",1106944329644298242,107,2019-03-16 15:44:28,Twitter for Android,1,1,Neutral
"this is how we feel in #Chennai now.....Hot, Hotter, Hottest Chennai https://t.co/vQYDBYgKed",1106944218365198337,92,2019-03-16 15:44:02,Twitter for Android,1,1,Positive
"RT @GuideforAll: ● International #PiDay is observed on which date ?
- 14 March

● Which City Has Won 12th #Hero I-League Football Champions…",1106943214886375424,140,2019-03-16 15:40:03,Twitter Web App,0,11,Neutral
#IPL2019 #IPL #ChennaiSuperKings #Chennai #RCB #RCBvCSK #match1 #IPL2k19 https://t.co/bevEKW2Vll,1106943106111266816,96,2019-03-16 15:39:37,Twitter for Android,0,0,Neutral
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106942681069076481,140,2019-03-16 15:37:55,Twitter for Android,0,8,Negative
"RT @rameshlaus: Calling all passionate #chennai #cosplayers on to the stage.

#SkyesportsChampionship @skyesportsindia https://t.co/Eh7E40U…",1106942380949725184,140,2019-03-16 15:36:44,Twitter Web App,0,6,Negative
"RT @the_newsdeck: #Sayyeshaa And #Arya's Chennai Reception
@arya_offl @Actorarya_FC @sayyeshaa @SayyeshaaFanat1 
.
https://t.co/fEXm5jSjCa\…",1106941772775591936,140,2019-03-16 15:34:19,Twitter for Android,0,2,Neutral
"RT @iCanSaveLife: #Chennai #Mar16
Need A-ve Blood donors
At MMM Hospital
Call 9941180811
via @abhi_174 cc @Nelson_Ji @Netra #iCanSaveLife #…",1106941091486416896,140,2019-03-16 15:31:36,Twitter Web App,0,23,Neutral
"RT @news7tamil: ராஜிவ் காந்தி கொலை வழக்கில் சிறையில் உள்ள 7 பேர் மீது எனக்கு தனிப்பட்ட கோபம் ஏதும் இல்லை: ராகுல்காந்தி

விவரம்➤https://t.co…",1106941048238964736,140,2019-03-16 15:31:26,Twitter for Android,0,38,Neutral
"RT @TeamTarakTrust: #TeamTarakTrust 3nd charity event will be on 2nd week of March at #Chennai 

Date, time &amp; place will be updated within…",1106940330882924545,143,2019-03-16 15:28:35,Twitter Web App,0,133,Neutral
Getting ready for tomorrow's event. #festivities #festival #panguniuthiram #Chennai #shotoniphone #marundeeswarar https://t.co/yEXzGKS8kx,1106940296267366400,137,2019-03-16 15:28:27,Twitter Web Client,0,0,Positive
"RT @iCanSaveLife: #Chennai #Mar16
Need A-ve Blood donors
At MMM Hospital
Call 9941180811
via @abhi_174 cc @Nelson_Ji @Netra #iCanSaveLife #…",1106940234766311424,140,2019-03-16 15:28:12,Twitter for Android,0,23,Neutral
RT @ChennaiIPL: Three lions! Get ready #Chennai to welcome Namma #Thala! PC: @JadhavKedar https://t.co/G5AYqE8S1q,1106939770314199045,113,2019-03-16 15:26:21,Twitter for Android,0,1060,Positive
"✍️Which City Has Won 12th #Hero I-League Football Championship ?
- #Chennai

✍️Which Country will host the 2020 FIF… https://t.co/wWSCE8UlDU",1106938971047821312,140,2019-03-16 15:23:11,Twitter for Android,3,0,Neutral
"RT @jawamotorcycles: Vanakkam Chennai! We’re back with yet another dealership in your city at Rajkamal Motors @ No. 19, Mount Road.

Step-i…",1106938565710114818,140,2019-03-16 15:21:34,Twitter for iPhone,0,6,Neutral
"RT @Emmanuv46616924: #CSKvRCB
Get ready #Chennai to welcome Namma #Thala! https://t.co/2vSCAU7twa",1106938464191209472,97,2019-03-16 15:21:10,Tamil_BOT,0,1,Positive
"Right now: Clouds, Temperature: 28.6C, Humidity: 70, Wind: From E at 5.7KPH, Updated: 8:50PM #Chennai #Weather",1106938313762631680,110,2019-03-16 15:20:34,WeatherChennai,0,0,Positive
"RT @news7tamil: நாய் குட்டிகளுக்கு கூட பாதுகாப்பு இல்லையா?

எதை நோக்கி செல்கிறது சமுதாயம்?

விவரம் ➤ https://t.co/G1QRqP6Pb6 | #Crime | #Se…",1106937394240995328,140,2019-03-16 15:16:55,Twitter for Android,0,4,Neutral
"RT @GuideforAll: ● International #PiDay is observed on which date ?
- 14 March

● Which City Has Won 12th #Hero I-League Football Champions…",1106936801376305153,140,2019-03-16 15:14:33,Twitter for Android,0,11,Neutral
"RT @NareshBen97: #NGK...By #Star #surya #tamil 
#chennai @Suriya_offl

https://t.co/1VolT9skey https://t.co/2ADkcjZpeq",1106936646308515841,118,2019-03-16 15:13:57,Twitter for Android,0,4,Neutral
"RT @GuideforAll: ● International #PiDay is observed on which date ?
- 14 March

● Which City Has Won 12th #Hero I-League Football Champions…",1106936590750736384,140,2019-03-16 15:13:43,Twitter for Android,0,11,Neutral
"#CSKvRCB
Get ready #Chennai to welcome Namma #Thala! https://t.co/2vSCAU7twa",1106936483322056704,76,2019-03-16 15:13:18,Twitter for Android,1,1,Positive
"This is one way of enjoying the weekend 😁

One of the better ways to enjoy #Chennai is  #Beaches @ Edward Elliot's… https://t.co/waCxYpCmzq",1106936419900108800,139,2019-03-16 15:13:03,Instagram,0,0,Positive
"RT @india4contests: #contest #contestalert #contestindia #india4contests #chennai
                   Phoenix Marketcity @pmcchennai https:/…",1106936031285174273,140,2019-03-16 15:11:30,Twitter for Android,0,2,Neutral
The CISSP Bell-LaPadula Model https://t.co/riD5JQN15I ---------------- &gt; #cissp #security #ceh #hacking… https://t.co/fPkvbrrra2,1106935710169341952,131,2019-03-16 15:10:13,Hootsuite Inc.,0,0,Neutral
#mainbhichowkidaar movement is good but Totally #TamilNadu #AndhraPradesh #Kerala and #Karnataka totally ignored. I… https://t.co/xW3bhBgrvu,1106935682226753537,140,2019-03-16 15:10:07,Twitter Web Client,0,0,Positive
"RT @cinemapayyan: Attention pls 📢

#chennai #cosplayers - here is a chance to flaunt your fanaticism 🔥 

#SkyesportsChampionship @skyesport…",1106935333566869505,140,2019-03-16 15:08:44,Twitter for Android,0,8,Neutral
RT @rameshlaus: #Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. March 23rd…,1106934981274689536,140,2019-03-16 15:07:20,Twitter for Android,0,5,Neutral
"RT @rameshlaus: Calling all passionate #chennai #cosplayers on to the stage.

#SkyesportsChampionship @skyesportsindia https://t.co/Eh7E40U…",1106934449978011653,140,2019-03-16 15:05:13,Twitter for Android,0,6,Negative
RT @C_T_Lakshmanan: With the simply terrific leadership team @tech_mahindra beautiful campus in #Chennai. Together we will make the magic h…,1106934040479719424,140,2019-03-16 15:03:35,Twitter for Android,0,6,Positive
"RT @R_Ajay_: Black-winged kite, landing with its kill. Saw this one last weekend in the outskirts of #Chennai. Those talons!! 

#birds #Rap…",1106933885756166144,140,2019-03-16 15:02:58,Twitter for Android,0,24,Negative
"RT @rameshlaus: Calling all passionate #chennai #cosplayers on to the stage.

#SkyesportsChampionship @skyesportsindia https://t.co/Eh7E40U…",1106933575159435264,140,2019-03-16 15:01:44,Twitter for Android,0,6,Negative
"RT @cinemapayyan: Attention pls 📢

#chennai #cosplayers - here is a chance to flaunt your fanaticism 🔥 

#SkyesportsChampionship @skyesport…",1106933220321325057,140,2019-03-16 15:00:20,Twitter for Android,0,8,Neutral
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106932629339885568,140,2019-03-16 14:57:59,Twitter for Android,0,8,Negative
RT @vp_offl: Our very own little prodigy #LydianNadhaswaram from #chennai Tamilnadu wins #cbs #worldsbest congrats Satish u proud dad!! htt…,1106932378738384896,140,2019-03-16 14:56:59,Twitter for Android,0,644,Positive
"#CSKvRCB 
#Chennai Ku #WhistlePodu",1106931761760489473,34,2019-03-16 14:54:32,Twitter for Android,1,1,Neutral
@NABL_QCI Brainstorming Session on #NABL112 Specific Criteria Amendment at #Chennai. Attended by 100 Lab Medicine P… https://t.co/uGKILd6uLb,1106931703732273152,140,2019-03-16 14:54:18,Twitter for Android,0,0,Neutral
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106931653572739073,140,2019-03-16 14:54:06,Twitter for Android,0,8,Negative
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106931635012935681,140,2019-03-16 14:54:02,Twitter for Android,0,8,Negative
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106931590536617985,140,2019-03-16 14:53:51,Twitter for Android,0,8,Negative
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106931568176697347,140,2019-03-16 14:53:46,Twitter for Android,0,8,Negative
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106931534089633792,140,2019-03-16 14:53:38,Twitter for Android,0,8,Negative
RT @5Gwatch: 5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai #Bengaluru #…,1106931517215907840,140,2019-03-16 14:53:34,Twitter for Android,0,8,Negative
"RT @GuideforAll: ● International #PiDay is observed on which date ?
- 14 March

● Which City Has Won 12th #Hero I-League Football Champions…",1106931435221336070,140,2019-03-16 14:53:14,Twitter for Android,0,11,Neutral
Job Opportunity for the Immediate joiners. https://t.co/w1yyWjLCRD #வேலைவாய்ப்பு #Tamil #chennai #walkininterview,1106931127829385216,113,2019-03-16 14:52:01,Google,0,0,Neutral
5G: Expect #Jio to roll out #5G by second half of 2020: https://t.co/PxFmH3EQYd via @economictimes #India #Mumbai… https://t.co/endQicXCg3,1106931084468670465,138,2019-03-16 14:51:50,Twitter for Android,9,8,Negative
